step,dot_gf_gr
0,-1.624428153038025
1,1.8323014974594116
2,-1.0986864566802979
3,-1.6456986665725708
4,-1.7221412658691406
5,-0.12550348043441772
6,-0.22133047878742218
7,-1.6911330223083496
8,-0.8560095429420471
9,-0.6221493482589722
10,-1.4822574853897095
11,-0.09780342131853104
12,-2.1377880573272705
13,-1.1327478885650635
14,-0.7813102602958679
15,-0.4506740868091583
16,-2.6280088424682617
17,-1.9874898195266724
18,-1.0725014209747314
19,-1.353261947631836
20,-0.359103262424469
21,-1.1174198389053345
22,-2.193500280380249
23,-2.072214365005493
24,-2.0779671669006348
25,-0.9822158217430115
26,0.3498057723045349
27,-2.3347766399383545
28,-0.784339427947998
29,0.32874438166618347
30,-1.8347394466400146
31,-1.1720563173294067
32,1.166764497756958
33,-2.1780078411102295
34,-1.6782971620559692
35,-1.1607218980789185
36,-1.6931507587432861
37,-1.7359203100204468
38,0.3059695363044739
39,-0.6103596687316895
